번호,지역어,지역,표준어,상세,상세_지역,시군,조사시기,제보자,음성,발화,발음/부가정보,비고,항목번호,시작_ms,끝_ms,시작_초,끝_초
332,새끼,함경북도,새끼,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,새끼를,,,22202,6309201,6309854,6309.201,6309.854
333,새끼,함경북도,새끼,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,새끼 꼰다고 하거든요,,,22202,6322947,6324600,6322.947,6324.6
334,새끼퉁구리,함경북도,새끼,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,새끼퉁구리,,,22202,6330148,6331228,6330.148,6331.228
335,따바리,함경북도,똬리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,따바리,,,22203,6353174,6354094,6353.174,6354.094
336,따바리,함경북도,똬리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,따바리,,,22203,6355027,6356054,6355.027,6356.054
337,따바리,함경북도,똬리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,따바리르,,,22203,6387721,6388454,6387.721,6388.454
338,따바리,함경북도,똬리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,따바리를,,,22203,6400667,6401600,6400.667,6401.6
339,따바리,함경북도,똬리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,따바리,,,22203,6429894,6430721,6429.894,6430.721
340,곽재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,곽재,,,22206,6435054,6435587,6435.054,6435.587
341,각재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,각재,,,22206,6435594,6436300,6435.594,6436.3
342,곽재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,곽재,,,22206,6437068,6437908,6437.068,6437.908
343,쇠수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쇠수랑이라구,'쇠'의 'ㅚ'가 이중모음 'ㅙ'로 발음됨.,,20226,6442494,6443454,6442.494,6443.454
344,섀수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,섀수랑,,,20226,6444274,6445114,6444.274,6445.114
345,쇠수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쇠수랑,'쇠'의 'ㅚ'가 이중모음 'ㅙ'로 발음됨.,,20226,6445600,6447000,6445.6,6447.0
346,곽재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,곽재,,,20226,6449601,6450641,6449.601,6450.641
347,살각재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,살각재,'재'의 'ㅈ[ㅉ]'이 치조음으로 발음됨.,,20226,6451275,6452488,6451.275,6452.488
348,곽재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,곽재,'재'의 'ㅈ[ㅉ]'이 치조음으로 발음됨,,20226,6462014,6462961,6462.014,6462.961
349,곽지,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,곽지,,,22206,6463948,6464761,6463.948,6464.761
350,'살'이 있는 것은 '살곽재'라고 한다고 함.,함경북도,살곽재,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,살곽재,,,22206,6466761,6467934,6466.761,6467.934
351,살각재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,그거르 이 살가재르 막: 긁는 거예요,,,22206,6476441,6478881,6476.441,6478.881
352,살각재,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,살각재를 많이 쑤고,,,22206,6558494,6560520,6558.494,6560.52
353,"사람들이 주로 '살각재'라는 말을 많이 쓰고, '쇠스랑'이라고도 한다고 함.",함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쇠수랑이라고도,,,22206,6561607,6562834,6561.607,6562.834
354,새수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,새수랑,,,22206,6564800,6565907,6564.8,6565.907
355,새수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,새수랑,'ㅚ'가 'ㅐ'처럼 실현됨.,,22206,6575741,6576874,6575.741,6576.874
356,쇠수랑,함경북도,갈퀴,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쇠수랑,'ㅚ'가 이중모음 'ㅙ'로 발음됨. '쇠스랑'은 아마 문화어일 거라고 함.,,22206,6578028,6579201,6578.028,6579.201
357,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키죠,,,22219,6596014,6596681,6596.014,6596.681
358,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키,,,22219,6596681,6597108,6596.681,6597.108
359,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키질한다,,,22219,6597914,6598901,6597.914,6598.901
360,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키,,,22219,6599054,6599547,6599.054,6599.547
361,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키예요,,,22219,6601214,6602000,6601.214,6602.0
362,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,바람이 좋을 때 키질하면,'좋'의 'ㅈ'이 치조음으로 실현됨.,,22219,6605960,6607880,6605.96,6607.88
363,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,바람이 옶으면 키질하기도 사실은 힘들어요,'없'의 'ㅓ'가 'ㅗ'처럼 실현됨.,,22219,6611388,6614121,6611.388,6614.121
364,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키질하때,'키질할 때'에서 '할'의 말음 ㄹ이 탈락함.,,22219,6616494,6617400,6616.494,6617.4
365,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키라고 해요,,,22219,6620107,6621321,6620.107,6621.321
366,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키를 사용할 땐 키질한다,'사용할 때'에서 '할'의 말음 ㄹ이 약화됨.,,22219,6623508,6625494,6623.508,6625.494
367,키,함경북도,키,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,키,,,22219,6629054,6629867,6629.054,6629.867
368,부지깽이,함경북도,부지깽이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,부지깽이,,,22227,6708001,6708828,6708.001,6708.828
369,부지깽이,함경북도,부지깽이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,부지깽이가 있어요,,,22227,6711941,6713354,6711.941,6713.354
370,바느질강:주리,함경북도,반짇고리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,바느질강:주리라고 해요,,,22229,6897988,6899801,6897.988,6899.801
371,바느지강:주리,함경북도,반짇고리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,야! 그 바느지강:주리 가죠:라,,,22229,6913107,6915094,6913.107,6915.094
372,다듬잇돌,함경북도,다듬잇돌,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,다듬잇돌,,,22230,6935508,6936361,6935.508,6936.361
373,다듬이 돌,함경북도,다듬잇돌,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,다듬이 돌,,,22230,6936454,6937494,6936.454,6937.494
374,다듬이판,함경북도,다듬잇돌,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,다듬이판이죠,"실제 집에서 사용한 것은 '나무'로 만든 것이었으므로, '다듬이판'이라고 함.",,22230,6959587,6960667,6959.587,6960.667
375,다듬이판,함경북도,다듬잇돌,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,다듬이판,,,22230,6964921,6965748,6964.921,6965.748
376,다듬잇돌,함경북도,다듬잇돌,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,이거는 돌이니까 다듬잇돌,사진에 있는 물건은 돌로 만든 것이니 '다듬잇돌'이라고 한다고 함. '돌'의 'ㅗ'의 개구도가 커서 'ㅓ'에 가깝게 들림.,,22230,6966880,6969560,6966.88,6969.56
377,꽹가리,함경북도,꽹과리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,꽹가리,'꽹과리'를 실제로 보지는 못함. 교과서나 TV에서만 봄.,,22231,6994028,6994974,6994.028,6994.974
378,꽹가리,함경북도,꽹과리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,꽹가리,,,22231,6995655,6996348,6995.655,6996.348
379,꽹가리,함경북도,꽹과리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,꽹가리를,,,22231,7014161,7015214,7014.161,7015.214
380,깽가리,함경북도,꽹과리,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,깽가리소리가 나고,,,22231,7020547,7022160,7020.547,7022.16
381,송고송고,함경북도,곤지곤지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,송고송고 송고송고,,,22405,7035414,7037307,7035.414,7037.307
382,송고,함경북도,곤지곤지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,송고,,,22405,7037394,7038407,7037.394,7038.407
383,송고송고,함경북도,곤지곤지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,송고송고 송고송고,,,22405,7038494,7040360,7038.494,7040.36
384,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네죠,,,22406,7067614,7068388,7067.614,7068.388
385,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네 탈 때,,,22405,7091054,7092414,7091.054,7092.414
386,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네 탈 때,,,22405,7093934,7095294,7093.934,7095.294
387,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네는,,,22406,7108521,7109334,7108.521,7109.334
388,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네예요,,,22406,7109601,7110187,7109.601,7110.187
389,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네고,,,22406,7111240,7112227,7111.24,7112.227
390,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네를 타면,,,22406,7112967,7114140,7112.967,7114.14
391,구네,함경북도,그네,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구네를 탄다 하지만,,,22406,7114160,7115533,7114.16,7115.533
392,쎄감지,함경북도,소꿉놀이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쎄감지,,,22409,7156254,7157134,7156.254,7157.134
393,쎄감지,함경북도,소꿉놀이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쎄감지,,,22409,7157234,7158328,7157.234,7158.328
394,쎄감지,함경북도,소꿉놀이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쎄감지,,,22409,7160241,7161654,7160.241,7161.654
395,쎄감지,함경북도,소꿉놀이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쎄감지라고 해요,,,22409,7170120,7171147,7170.12,7171.147
396,쎄감지,함경북도,소꿉놀이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쎄감지 놀자,'놀자'의 'ㅈ'이 치조음으로 발음됨.,,22409,7180907,7182200,7180.907,7182.2
